962480,BĐVHX Lộc Ninh,"Ấp Bà Ai 1, Xã Lộc Ninh, Huyện Hồng Dân"
962600,GD cấp 2 Gía Rai,"Ấp 1, Thị Trấn Giá Rai, Huyện Giá Rai"
963310,GD cấp 3 Cái Cùng,"Ấp Vĩnh Lạc, Xã Vĩnh Thịnh, Huyện Hoà Bình"
962241,BĐVHX Phong Thạnh Tây A,"Ấp 1 A, Xã Phong Thạnh Tây A, Huyện Phước Long"
963420,GD cấp 3 Vĩnh Hậu,"Ấp Vĩnh Mẫu, Xã Vĩnh Hậu, Huyện Hoà Bình"
961580,GD cấp 3 Cầu Sập,"Ấp Phước Thạnh 1, Xã Long Thạnh, Huyện Vĩnh Lợi"
962940,BĐVHX Long Điền Đông,"Ấp Bửu 2, Xã Long Điền Đông, Huyện Đông Hải"
963240,KT cấp 2 Hòa Bình,"Ấp Thị Trấn A - Khu 1, Thị Trấn Hoà Bình, Huyện Hoà Bình"
962900,GD cấp 2 Đông Hải,"Khu Vực 4, Thị trấn Gành Hào, Huyện Đông Hải"
962650,BĐVHX Phong Tân,"Ấp 16 A, Xã Phong Tân, Huyện Giá Rai"
962630,BĐVHX Phong Thạnh Đông,"Ấp 11, Xã Phong Thạnh Đông, Huyện Giá Rai"
962210,KT cấp 2 Phước Long,"Ấp Long Thành Đường Xóm Rầy, Thị Trấn Phước Long, Huyện Phước Long"
962510,GD cấp 3 Ba Đình,"Ấp Ba Đình, Xã Vĩnh Lộc A, Huyện Hồng Dân"
963200,GD cấp 2 Hòa Bình,"Ấp Thị Trấn A - Khu 1, Thị Trấn Hoà Bình, Huyện Hoà Bình"
963400,Kiốt bưu điện Xóm Lung,"Ấp 14, Xã Vĩnh Mỹ B, Huyện Hoà Bình"
962610,GD cấp 3 Láng Tròn,"Ấp 2, Xã Phong Thạnh Đông A, Huyện Giá Rai"
961300,GD cấp 3 Nhà Mát,"Khóm Nhà Mát, Phường Nhà Mát, Thị xã Bạc Liêu"
962160,BĐVHX Xã Thoàn,"Ấp Phước Thạnh, Xã Phước Long, Huyện Phước Long"
962100,GD cấp 2 Phước Long,"Ấp Long Thành Đường Xóm Rầy, Thị Trấn Phước Long, Huyện Phước Long"
962130,BĐVHX Vĩnh Phú Đông,"Ấp Mỹ 1, Xã Vĩnh Phú Đông, Huyện Phước Long"
961510,KT cấp 2 Vĩnh Lợi,"Ấp Xẻo Chích, Xã Châu Thới, Huyện Vĩnh Lợi"
961630,BĐVHX Châu Hưng A,"Ấp Nhà Dài A, Xã Châu Hưng A, Huyện Vĩnh Lợi"
962950,BĐVHX Long Đìền Đông A,"Ấp Mỹ Điền, Xã Long Điền Đông A, Huyện Đông Hải"
961610,GD cấp 3 Cái Dầy,"Ấp Cái Dầy, Xã Châu Hưng, Huyện Vĩnh Lợi"
961250,GD cấp 3 Trà Kha,"Đường Võ Thị Sáu, Phường 8, Thị xã Bạc Liêu"
962150,GD cấp 3 Phó Sinh,"Ấp Phước Thành, Xã Phước Long, Huyện Phước Long"
961500,GD cấp 2 Vĩnh Lợi,"Ấp Xẻo Chích, Xã Châu Thới, Huyện Vĩnh Lợi"
961770,BĐVHX Vĩnh Hưng A,"Ấp Trung Hưng 1a, Xã Vĩnh Hưng A, Huyện Vĩnh Lợi"
962920,GD cấp 3 Kinh Tư,"Ấp Diêm Điền, Xã Long Điền Tây, Huyện Đông Hải"
