220000,GD cấp 1 Bắc Ninh,"Đường Ngô Gia Tự, Phường Tiền An, Thị xã Bắc Ninh"
220100,KT cấp 1 Bắc Ninh,"Đường Ngô Gia Tự, Phường Tiền An, Thị xã Bắc Ninh"
221000,ÐLBD Thị Cầu,"Đường Lý Thường Kiệt, Khu dân cư Khu 6 Thị Cầu, Phường Thị Cầu, Thị xã Bắc Ninh"
221080,GD cấp 3 Đáp Cầu,"642 Khu phố 1 Đáp Cầu, Phường Đáp Cầu, Thị xã Bắc Ninh"
221120,ÐLBD Đlý Bđ Cổng Hậu,"Đường Lê Phụng Hiểu, Phường Vệ An, Thị xã Bắc Ninh"
221211,ÐLBD Cổng Tiền,"Đường Nguyễn Du, Phường Ninh Xá, Thị xã Bắc Ninh"
221240,GD cấp 3 Lý Thái Tổ,"Đường Lý Thái Tổ, Phường Suối Hoa, Thị xã Bắc Ninh"
221241,ÐLBD Đlý Bđ Suối Hoa,"Đường Ngô Gia Tự, Phường Suối Hoa, Thị xã Bắc Ninh"
221400,GD cấp 2 Yên Phong,"Đường Phố Chờ, Thị Trấn Chờ, Huyện Yên Phong"
221401,BĐVHX Thị Trấn Chờ,"Đường Phố Chờ, Thị Trấn Chờ, Huyện Yên Phong"
221420,BĐVHX Trung Nghĩa,"Thôn Phù Lưu, Xã Trung Nghĩa, Huyện Yên Phong"
221430,BĐVHX Long Châu,"Thôn Mẫn Xá, Xã Long Châu, Huyện Yên Phong"
221440,BĐVHX Đông Phong,"Thôn Đông Yên, Xã Đông Phong, Huyện Yên Phong"
221442,ÐLBD Đlý Bđ- Nvh Thôn Đông Yên,"Thôn Đông Yên, Xã Đông Phong, Huyện Yên Phong"
221447,GD cấp 3 Đông Phong,"Thôn Đông Yên, Xã Đông Phong, Huyện Yên Phong"
221450,BĐVHX Phong Khê,"Thôn Dương Ổ, Xã Phong Khê, Thị xã Bắc Ninh"
221460,BĐVHX Khúc Xuyên,"Thôn Khúc Toại, Xã Khúc Xuyên, Thị xã Bắc Ninh"
221470,GD cấp 3 Vạn An,"Thôn Đương Xá, Xã Vạn An, Thị xã Bắc Ninh"
221480,BĐVHX Hoà Long,"Thôn Xuân Lai, Xã Hoà Long, Thị xã Bắc Ninh"
221490,KT cấp 2 Yên Phong,"Đường Phố Chờ, Thị Trấn Chờ, Huyện Yên Phong"
221500,BĐVHX Đông Tiến,"Thôn Đông Thái, Xã Đông Tiến, Huyện Yên Phong"
221510,BĐVHX Yên Trung,"Thôn Chính Trung, Xã Yên Trung, Huyện Yên Phong"
221530,BĐVHX Thuỵ Hoà,"Thôn Thiểm Xuyên, Xã Thụy Hoà, Huyện Yên Phong"
