971420,GD cấp 3 Bến Xe,"Hẻm 120, Đường Lý Thường Kiệt, Phường 6, Thành phố Cà Mau"
972700,GD cấp 2 Cái Nước,"Khóm 1, Thị Trấn Cái Nước, Huyện Cái Nước"
970000,GD cấp 1 Cà Mau,"3 Đường Lưu Tấn Tài, Phường 5, Thành phố Cà Mau"
971830,BĐVHX Tân Phú,"Ấp Nhà Máy B, Xã Tân Phú, Huyện Thới Bình"
971820,KT cấp 2 Thới Bình,"Khóm 1, Thị Trấn Thới Bình, Huyện Thới Bình"
971550,BĐVHX Hòa Thành,"Ấp Bùng Binh, Xã Hoà Thành, Thành phố Cà Mau"
972600,BĐVHX Khánh Lộc,"Ấp Rạch Ruộng A, Xã Khánh Lộc, Huyện Trần Văn Thời"
973938,BĐVHX Hàm Rồng,"Ấp Chống Mỹ, Xã Hàm Rồng, Huyện Năm Căn"
973020,BĐVHX Tạ An Khương Nam,"Ấp Tân Thành B, Xã Tạ An Khương Nam, Huyện Đầm Dơi"
973600,GD cấp 2 Phú Tân,"Khóm 1, Thị Trấn Cái Đôi Vàm, Huyện Phú Tân"
972160,BĐVHX Nguyễn Phích,"Ấp 7, Xã Nguyễn Phích, Huyện U Minh"
971850,GD cấp 3 Trí Phải,"Ấp 2, Xã Trí Phải, Huyện Thới Bình"
971970,BĐVHX Tân Lộc Đông,"Ấp 5, Xã Tân Lộc Đông, Huyện Thới Bình"
971170,BĐVHX An Xuyên,"Ấp 1, Xã An Xuyên, Thành phố Cà Mau"
970100,KT cấp 1 Cà Mau,"3 Đường Lưu Tấn Tài, Phường 5, Thành phố Cà Mau"
972120,BĐVHX Lâm Trường 30/4,"Ấp 3, Xã Khánh Hoà, Huyện U Minh"
972591,BĐVHX Mỹ Bình,"Ấp Mỹ Bình, Xã Phong Lạc, Huyện Trần Văn Thời"
973560,KT cấp 2 Ngọc Hiển,"Ấp Kiến Vàng, Xã Tân Ân, Huyện Ngọc Hiển"
973150,BĐVHX Tân Duyệt,"Ấp Đồng Tâm A, Xã Tân Duyệt, Huyện Đầm Dơi"
973061,BĐVHX Tân Thuận,"Ấp Lưu Hoa Thanh, Xã Tân Thuận, Huyện Đầm Dơi"
973700,GD cấp 3 Gò Công,"Ấp Gò Công Đông, Xã Việt Khái, Huyện Phú Tân"
972401,BĐVHX Nông Trường U Minh,"Ấp 1, Xã Trần Hợi, Huyện Trần Văn Thời"
972570,GD cấp 3 Phong Điền,"Ấp Công điền, Xã Phong Điền, Huyện Trần Văn Thời"
973461,BĐVHX So Đũa,"Ấp So Đũa, Xã Viên An Tây, Huyện Ngọc Hiển"
973770,GD cấp 3 Rạch Chèo,"Ấp Rạch Chèo, Xã Rạch Chèo, Huyện Phú Tân"
973940,KT cấp 2 Năm Căn,"Khóm I, Thị Trấn Năm Căn, Huyện Năm Căn"
