,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
176340,BĐVHX Hưng Long,"Thôn Hào Khê, Xã Hưng Long, Huyện Ninh Giang"
176350,BĐVHX Hưng Thái,"Thôn Văn Diệm, Xã Hưng Thái, Huyện Ninh Giang"
176390,BĐVHX Hồng Phong,"Thôn Động Trạch, Xã Hồng Phong, Huyện Ninh Giang"
176500,GD cấp 2 Tứ Kỳ,"Thôn An Nhân, Thị Trấn Tứ Kỳ, Huyện Tứ Kỳ"
176504,GD cấp 3 Thị trấn Tứ Kỳ,"Thôn La Tỉnh, Thị Trấn Tứ Kỳ, Huyện Tứ Kỳ"
176550,BĐVHX Quang Phục,"Thị tứ Ngã Tư, Xã Quang Phục, Huyện Tứ Kỳ"
176580,GD cấp 3 Hưng Đạo,"Thị tứ Hưng Đạo, Xã Hưng Đạo, Huyện Tứ Kỳ"
176600,BĐVHX Đại Đồng,"Thôn Nghĩa Xá, Xã Đại Đồng, Huyện Tứ Kỳ"
176610,BĐVHX Kỳ Sơn,"Thôn Mỗ Đoạn, Xã Kỳ Sơn, Huyện Tứ Kỳ"
176640,BĐVHX Tân Kỳ,"Thôn Nghi Khê, Xã Tân Kỳ, Huyện Tứ Kỳ"
176720,BĐVHX Phượng Kỳ,"Thôn Như Lâm, Xã Phượng Kỳ, Huyện Tứ Kỳ"
176730,GD cấp 3 Cầu Xe,"Thôn Hàm Hy, Xã Cộng Lạc, Huyện Tứ Kỳ"
176760,BĐVHX Hà Thanh,"Thôn Thanh Bình, Xã Hà Thanh, Huyện Tứ Kỳ"
176790,BĐVHX An Thanh,"Thôn Thanh Kỳ, Xã An Thanh, Huyện Tứ Kỳ"
173300,BĐVHX Đại Đức,"Thôn Kim Định, Xã Đại Đức, Huyện Kim Thành"
173320,BĐVHX Tam Kỳ,"Thôn Kỳ Côi, Xã Tam Kỳ, Huyện Kim Thành"
173400,GD cấp 2 Nam Sách,"Khu phố Mới, Thị Trấn Nam Sách, Huyện Nam Sách"
173401,GD cấp 3 Thị Trấn Nam Sách,"Khu phố La Văn Cầu, Thị Trấn Nam Sách, Huyện Nam Sách"
173450,BĐVHX Cộng Hòa,"Thôn Chi Đoan, Xã Cộng Hoà, Huyện Nam Sách"
173470,BĐVHX Nam Trung,"Thôn Mạn Đê, Xã Nam Trung, Huyện Nam Sách"
173490,GD cấp 3 Thanh Quang,"Thôn Linh Khê, Xã Thanh Quang, Huyện Nam Sách"
173500,BĐVHX Hợp Tiến,"Thôn Tè, Xã Hợp Tiến, Huyện Nam Sách"
173510,BĐVHX Nam Tân,"Thôn Đột Trên, Xã Nam Tân, Huyện Nam Sách"
173520,GD cấp 3 Nam Chính,"Thôn Bịch Tây, Xã Nam Chính, Huyện Nam Sách"
173530,BĐVHX Hiệp Cát,"Thôn Kinh Dương, Xã Hiệp Cát, Huyện Nam Sách"
173590,BĐVHX Minh Tân,"Thôn Uông Hạ, Xã Minh Tân, Huyện Nam Sách"
173620,BĐVHX Đồng Lạc,"Thôn Miếu Lãng, Xã Đồng Lạc, Huyện Nam Sách"
