330000,GD cấp 1 TT Lào Cai,"196 Đường Hoàng Liên, Phường Cốc Lếu, Thành phố Lào Cai"
330100,KT cấp 1 TT Lào Cai,"196 Đường Hoàng Liên, Phường Cốc Lếu, Thành phố Lào Cai"
331000,GD cấp 2 Bắc Hà,"Khu Bắc Hà, Thị Trấn Bắc Hà, Huyện Bắc Hà"
331030,BĐVHX Na Hối,"Thôn Na Hối Tày, Xã Na Hối, Huyện Bắc Hà"
331050,KT cấp 2 Bắc Hà,"Khu Bắc Hà, Thị Trấn Bắc Hà, Huyện Bắc Hà"
331072,BĐVHX Lùng Cải,"Thôn Sản Lùng Chính, Xã Lùng Cải, Huyện Bắc Hà"
331084,BĐVHX Bản Già,"Thôn Bản Già, Xã Bản Già, Huyện Bắc Hà"
331090,BĐVHX Bản Liền,"Thôn Bản Liền, Xã Bản Liền, Huyện Bắc Hà"
331120,BĐVHX Thải Giàng Phố,"Thôn Sân Bay 1, Xã Thải Giàng Phố, Huyện Bắc Hà"
331140,BĐVHX Tả Van Chư,"Thôn Tẩn Chư, Xã Tả Van Chư, Huyện Bắc Hà"
331180,BĐVHX Lầu Thí Ngài,"Thôn Pờ Ngài Chồ 1, Xã Lầu Thí Ngài, Huyện Bắc Hà"
331200,BĐVHX Lùng Phìn,"Thôn Lùng Phìn, Xã Lùng Phìn, Huyện Bắc Hà"
331220,BĐVHX Nậm Mòn,"Thôn Nậm Mòn Thượng, Xã Nậm Mòn, Huyện Bắc Hà"
331253,BĐVHX Cốc Ly,"Thôn Thẩm Phúc, Xã Cốc Ly, Huyện Bắc Hà"
331268,BĐVHX Bản Cái,"Thôn Cô Tông, Xã Bản Cái, Huyện Bắc Hà"
331300,BĐVHX Cốc Lầu,"Thôn Làng Mới, Xã Cốc Lầu, Huyện Bắc Hà"
331320,BĐVHX Nậm Khánh,"Thôn Nậm Tồn, Xã Nậm Khánh, Huyện Bắc Hà"
331340,BĐVHX Nậm Đét,"Thôn Nậm Đét, Xã Nậm Đét, Huyện Bắc Hà"
331360,BĐVHX Bản Phố,"Thôn Bản Phố 1, Xã Bản Phố, Huyện Bắc Hà"
331370,BĐVHX Tà Chải,"Thôn Na Lo, Xã Tà Chải, Huyện Bắc Hà"
331390,BĐVHX Bảo Nhai,"Thôn Bảo Tân, Xã Bảo Nhai, Huyện Bắc Hà"
331600,GD cấp 2 Si Ma Cai,"Thôn Phố Cũ, Xã Si Ma Cai, Huyện Si Ma Cai"
331610,BĐVHX Bản Mế,"Thôn Bản Mế, Xã Bản Mế, Huyện Si Ma Cai"
331620,KT cấp 2 Si Ma Cai,"Thôn Phố Cũ, Xã Si Ma Cai, Huyện Si Ma Cai"
331643,BĐVHX Sán Chải,"Thôn Chung Chải, Xã Sán Chải, Huyện Si Ma Cai"
331650,BĐVHX Lùng Sui,"Thôn Lao Dìn Phàng, Xã Lùng Sui, Huyện Si Ma Cai"
331677,BĐVHX Mản Thẩn,"Thôn Chu Liền Chải, Xã Mản Thẩn, Huyện Si Ma Cai"
331690,BĐVHX Sín Chéng,"Thôn Bản Kha, Xã Sín Chéng, Huyện Si Ma Cai"
331705,BĐVHX Lử Thẩn,"Thôn Chính Chư Phìn, Xã Lử Thẩn, Huyện Si Ma Cai"
331717,BĐVHX Quan Thần Sán,"Thôn Bản Dửu, Xã Quan Thần Sán, Huyện Si Ma Cai"
331720,BĐVHX Cán Cấu,"Thôn Mù Chèng Phìn, Xã Cán Cấu, Huyện Si Ma Cai"
331740,BĐVHX Nàn Sín,"Thôn Sỉn Chù̀, Xã Nàn Sín, Huyện Si Ma Cai"
331762,BĐVHX Nàn Sán,"Thôn Sảng Chải 1, Xã Nàn Sán, Huyện Si Ma Cai"
331900,GD cấp 2 Mường Khương,"Thôn Phố Cũ, Xã Mường Khương, Huyện Mường Khương"
331901,BĐVHX Lùng Vai,"Thôn Lùng Vai A, Xã Lùng Vai, Huyện Mường Khương"
331930,KT cấp 2 Mường Khương,"Thôn Phố Cũ, Xã Mường Khương, Huyện Mường Khương"
331940,BĐVHX Tung Trung Phố,"Thôn Na Bủ, Xã Tung Chung Phố, Huyện Mường Khương"
331970,BĐVHX Nấm Lư,"Thôn Pạc Ngam, Xã Nấm Lư, Huyện Mường Khương"
332000,BĐVHX Thanh Bình,"Thôn Trung Tâm Xã, Xã Thanh Bình, Huyện Mường Khương"
332020,BĐVHX Nậm Chảy,"Thôn Sản Lùng Phìn, Xã Nậm Chảy, Huyện Mường Khương"
332050,BĐVHX Lùng Khấu Nhin,"Thôn Sín Lùng Chải, Xã Lùng Khấu Nhin, Huyện Mường Khương"
332070,BĐVHX Pha Long,"Thôn Phố Pha Long 1, Xã Pha Long, Huyện Mường Khương"
332120,BĐVHX Tả Ngãi Chồ,"Thôn Tả Lủ, Xã Tả Ngải Chồ, Huyện Mường Khương"
332151,BĐVHX Tả Gia Khâu,"Thôn Thải Giàng Sán, Xã Tả Gia Khâu, Huyện Mường Khương"
332160,BĐVHX Cao Sơn,"Thôn Lồ Suối Tủng, Xã Cao Sơn, Huyện Mường Khương"
332189,BĐVHX La Pán Tẩn,"Thôn Tỉn Thàng, Xã La Pán Thẩn, Huyện Mường Khương"
332260,GD cấp 3 Bản Lầu,"Thôn Làng Ha, Xã Bản Lầu, Huyện Mường Khương"
332300,BĐVHX Bản Sen,"Thôn Bản Sen, Xã Bản Xen, Huyện Mường Khương"
332500,GD cấp 2 Bát Xát,"Đường Hùng Vương, Thị Trấn Bát Xát, Huyện Bát Xát"
332544,BĐVHX Phìn Ngan,"Thôn Van Hồ, Xã Phìn Ngan, Huyện Bát Xát"
332561,BĐVHX Nậm Chạc,"Thôn Nậm Trạc 1, Xã Nậm Trạc, Huyện Bát Xát"
332577,BĐVHX Tòng Sành,"Thôn Tả Tòng Sành, Xã Tòng Sành, Huyện Bát Xát"
332589,BĐVHX A Mú Sung,"Thôn Phù Lao Chải, Xã A Mú Sung, Huyện Bát Xát"
332590,KT cấp 2 Bát Xát,"Đường Hùng Vương, Thị Trấn Bát Xát, Huyện Bát Xát"
332608,BĐVHX A Lù,"Thôn Ngải Chồ, Xã A Lù, Huyện Bát Xát"
332627,BĐVHX Pa Cheo,"Thôn Tả Pa Cheo 1, Xã Pa Cheo, Huyện Bát Xát"
332635,BĐVHX Nậm Pung,"Thôn Nậm Pung, Xã Nậm Pung, Huyện Bát Xát"
332695,BĐVHX Dền Sáng,"Thôn Nậm Giàng 1, Xã Dền Sáng, Huyện Bát Xát"
332700,BĐVHX Ngải Thầu,"Thôn Chin Chu Lìn, Xã Ngải Thầu, Huyện Bát Xát"
332710,BĐVHX Y Tý,"Thôn Mò Phú Trải, Xã Y Tý, Huyện Bát Xát"
332740,BĐVHX Cốc Mỳ,"Thôn Dìn Pèng, Xã Cốc Mỳ, Huyện Bát Xát"
332770,BĐVHX Trịnh Tường,"Thôn Phố Mới 1, Xã Trịnh Tường, Huyện Bát Xát"
332810,BĐVHX Bản Xèo,"Thôn Cán Tỷ, Xã Bản Xèo, Huyện Bát Xát"
332836,BĐVHX Mường Hum,"Thôn Mường Hum, Xã Mường Hum, Huyện Bát Xát"
332840,BĐVHX Cốc San,"Thôn Tân Sơn 1, Xã Cốc San, Huyện Bát Xát"
332860,BĐVHX Quang Kim,"Thôn Đội Pẳn 1, Xã Quang Kim, Huyện Bát Xát"
332890,BĐVHX Mường Vi,"Thôn Dao, Xã Mường Vi, Huyện Bát Xát"
332910,GD cấp 3 Bản Vược,"Thôn Đội 1, Xã Bản Vược, Huyện Bát Xát"
332930,BĐVHX Bản Qua,"Thôn Bản Vền, Xã Bản Qua, Huyện Bát Xát"
333100,GD cấp 2 Sapa,"Đường Thạch Sơn, Thị Trấn Sa Pa, Huyện Sa Pa"
333101,GD cấp 3 Cầu Mây,"Đường Thạch Sơn, Thị Trấn Sa Pa, Huyện Sa Pa"
333102,BĐVHX Ô Quý Hồ,"Đường Thạch Sơn, Thị Trấn Sa Pa, Huyện Sa Pa"
333123,BĐVHX Thanh Kim,"Thôn Lếch Mông, Xã Thanh Kim, Huyện Sa Pa"
333136,BĐVHX Bản Phùng,"Thôn Bản Sái, Xã Bản Phùng, Huyện Sa Pa"
333140,BĐVHX Bản Hồ,"Thôn Bản Dền, Xã Bản Hồ, Huyện Sa Pa"
333154,BĐVHX Thanh Phú,"Thôn Mường Bo, Xã Thanh Phú, Huyện Sa Pa"
333162,BĐVHX Nâm Cang,"Thôn Nậm Cang, Xã Nậm Cang, Huyện Sa Pa"
333175,BĐVHX Nâm Sài,"Thôn Bản Sài, Xã Nậm Sài, Huyện Sa Pa"
333190,BĐVHX Sa Pả,"Thôn Sả Séng, Xã Sa Pả, Huyện Sa Pa"
333200,BĐVHX Tả Van,"Thôn Tả Van Dáy, Xã Tả Van, Huyện Sa Pa"
333214,BĐVHX Hầu Thào,"Thôn Hầu Chủ Ngài, Xã Hầu Thào, Huyện Sa Pa"
333220,BĐVHX Sử Pán,"Thôn Hòa Sử Pán 1, Xã Sử Pán, Huyện Sa Pa"
333230,BĐVHX Trung Trải,"Thôn Mống Sến 1, Xã Trung Trải, Huyện Sa Pa"
333240,KT cấp 2 Sapa,"Đường Thạch Sơn, Thị Trấn Sa Pa, Huyện Sa Pa"
333260,BĐVHX Bản Khoang,"Thôn Can Hồ A, Xã Bản Khoang, Huyện Sa Pa"
333275,BĐVHX Tả Giàng Phình,"Thôn Móng Xóa, Xã Tả Giàng Phình, Huyện Sa Pa"
333285,BĐVHX Lao Chải,"Thôn Lồ Lao Chải, Xã Lao Chải, Huyện Sa Pa"
333293,BĐVHX San Sả Hồ,"Thôn Sín Chải, Xã San Sả Hồ, Huyện Sa Pa"
333300,BĐVHX Tả Phìn,"Thôn Lù Khấu, Xã Tả Phìn, Huyện Sa Pa"
333400,GD cấp 3 Cửa Khẩu,"Đường Nguyễn Huệ, Phường Lào Cai, Thành phố Lào Cai"
333420,GD cấp 3 Duyên Hải,"Đường Thanh Niên, Phường Duyên Hải, Thành phố Lào Cai"
333470,GD cấp 3 Cốc Lếu,"05 Đường Hòa An, Phường Cốc Lếu, Thành phố Lào Cai"
333570,GD cấp 3 Kim Tân,"613 Đường Hoàng Liên, Phường Kim Tân, Thành phố Lào Cai"
333680,GD cấp 3 Pom Hán,"Tổ 14, Phường Pom Hán, Thành phố Lào Cai"
333840,GD cấp 3 Hoàng Liên,"Đường Khánh Yên, Phường Phố Mới, Thành phố Lào Cai"
333890,BĐVHX Vạn Hòa,"Thôn Giang Đông, Xã Vạn Hoà, Thành phố Lào Cai"
333910,BĐVHX Đồng Tuyển,"Thôn 3, Xã Đồng Tuyển, Thành phố Lào Cai"
333920,BĐVHX Hợp Thành,"Thôn Cáng 1, Xã Hợp Thành, Thành phố Lào Cai"
333940,BĐVHX Nam Cường,"Thôn Làng Thàng 2, Phường Nam Cường, Thành phố Lào Cai"
333950,BĐVHX Tả Phời,"Thôn Phuổi 3, Xã Tả Phời, Thành phố Lào Cai"
334100,GD cấp 2 Bảo Thắng,"Đường Cách Mạng Tháng 8 - Khu 3, Thị Trấn Phố Lu, Huyện Bảo Thắng"
