410000,GD cấp 1 Thái Bình,"Phố Lý Bôn, Phường Đề Thám, Thị xã Thái Bình"
410100,Khai Thac Thai Binh,"Phố Lý Bôn, Phường Đề Thám, Thị xã Thái Bình"
411300,Kiốt bưu điện Thái Bình,"Phố Lý Thường Kiệt, Phường Lê Hồng Phong, Thành phố Thái Bình"
411390,BĐVHX Hoàng Diêu,"Thôn Duy Tân, Xã Hoàng Diệu, Thành phố Thái Bình"
411410,BĐVHX Vhx Tiền Phong,"Tổ 5, Xã Tiền Phong, Thành phố Thái Bình"
411750,BĐVHX Vhx Đông Hòa,"Thôn Nam Cầu Nhân, Xã Đông Hoà, Thành phố Thái Bình"
411770,BĐVHX Vhx Phú Xuân,"Thôn Phú Lạc, Xã Phú Xuân, Thành phố Thái Bình"
411790,BĐVHX Vhx Vũ Phúc,"Thôn Bắc Sơn, Xã Vũ Phúc, Thành phố Thái Bình"
411810,BĐVHX Vhx Vũ Chính,"Thôn Tống Văn, Xã Vũ Chính, Thành phố Thái Bình"
411840,BĐVHX Vhx Trần Lãm,"Tổ 9, Xã Trần Lãm, Thành phố Thái Bình"
412100,GD cấp 2 Đông Hưng,"Tổ 3, Thị Trấn Đông Hưng, Huyện Đông Hưng"
412116,BĐVHX Đông Hợp,"Thôn Long Bối, Xã Đông Hợp, Huyện Đông Hưng"
412120,BĐVHX Đông Các,"Thôn Đông Các, Xã Đông Các, Huyện Đông Hưng"
412130,GD cấp 3 Đống Năm,"Thôn Cầu Năm, Xã Đông Động, Huyện Đông Hưng"
412140,KT cấp 2 Đông Hưng,"Tổ 3, Thị Trấn Đông Hưng, Huyện Đông Hưng"
412150,BĐVHX Đông Hà,"Thôn Nam Song, Xã Đông Hà, Huyện Đông Hưng"
412160,BĐVHX Đông Vinh,"Thôn Văn Ông Đoài, Xã Đông Vinh, Huyện Đông Hưng"
412180,BĐVHX Đông Giang,"Thôn Lương Đống, Xã Đông Giang, Huyện Đông Hưng"
412190,BĐVHX Đông Á,"Thôn Trưng Trắc A, Xã Đông Á, Huyện Đông Hưng"
412210,BĐVHX Đông Huy,"Thôn Nam Châu, Xã Đông Huy, Huyện Đông Hưng"
412220,BĐVHX Đông Lĩnh,"Thôn Đông An, Xã Đông Lĩnh, Huyện Đông Hưng"
412230,BĐVHX Đông Tân,"Thôn Tây Thượng Liệt, Xã Đông Tân, Huyện Đông Hưng"
412240,GD cấp 3 Châu Giang,"Thôn Châu Giang, Xã Đông Phong, Huyện Đông Hưng"
412250,BĐVHX Đông Kinh,"Thôn Duyên Hà, Xã Đông Kinh, Huyện Đông Hưng"
412260,BĐVHX Đông Cường,"Thôn Xuân Thọ, Xã Đông Cường, Huyện Đông Hưng"
412270,GD cấp 3 Cầu Vàng,"Thôn Nam, Xã Đông Phương, Huyện Đông Hưng"
412290,BĐVHX Đông Xá,"Thôn Tây Bình Cách, Xã Đông Xá, Huyện Đông Hưng"
412300,BĐVHX Đông Sơn,"Thôn Bắc, Xã Đông Sơn, Huyện Đông Hưng"
412317,BĐVHX Đông La,"Thôn Bảo Châu, Xã Đông La, Huyện Đông Hưng"
412320,BĐVHX Liên Giang,"Thôn Kim Ngọc 1, Xã Liên Giang, Huyện Đông Hưng"
412330,BĐVHX Đô Lương,"Thôn 4, Xã Đô Lương, Huyện Đông Hưng"
412340,BĐVHX Phú Lương,"Thôn Duyên Tục, Xã Phú Lương, Huyện Đông Hưng"
412350,BĐVHX An Châu,"Thôn Kim Châu 2, Xã An Châu, Huyện Đông Hưng"
412360,GD cấp 3 Mê Linh,"Thôn Hữu, Xã Mê Linh, Huyện Đông Hưng"
412380,BĐVHX Lô Giang,"Thôn Hoàng Nông, Xã Lô Giang, Huyện Đông Hưng"
412400,GD cấp 3 Tiên Hưng,"Thôn Thần Khê, Xã Thăng Long, Huyện Đông Hưng"
412410,BĐVHX Hồng Việt,"Thôn 1, Xã Hồng Việt, Huyện Đông Hưng"
