942600,GD cấp 2 Châu Thành,"Tổ Từ Tổ 1 Đến Tổ 20, Khóm 2, Thị Trấn Châu Thành, Huyện Châu Thành"
941791,BĐVHX Đức Mỹ,"Ấp Mỹ Hiệp, Xã Đức Mỹ, Huyện Càng Long"
943510,BĐVHX Mỹ Hòa,"Ấp Mỹ Cẩm B, Xã Mỹ Hoà, Huyện Cầu Ngang"
943600,BĐVHX Trường Thọ,"Ấp Sóc Cụt, Xã Trường Thọ, Huyện Cầu Ngang"
942410,BĐVHX Long Thới,"Ấp Trinh Phụ, Xã Long Thới, Huyện Tiểu Cần"
942800,BĐVHX Song Lộc,"Ấp Phú Lân, Xã Song Lộc, Huyện Châu Thành"
941350,GD cấp 3 Bến Xe,"559 Đường Nguyễn Đáng, Phường 6, Thị xã Trà Vinh"
941950,GD cấp 3 Phương Thạnh,"Ấp Đầu Giồng, Xã Phương Thạnh, Huyện Càng Long"
941700,GD cấp 2 Càng Long,"Cụm Khóm 4, Thị Trấn Càng Long, Huyện Càng Long"
942510,GD cấp 3 Cầu Quan,"Khóm Định An (khóm I ), Thị trấn Cầu Quan, Huyện Tiểu Cần"
943620,BĐVHX Thuận Hòa,"Ấp Nô Công, Xã Thuận Hoà, Huyện Cầu Ngang"
940000,GD cấp 1 Tx Trà Vinh,"70 Đường Hùng Vương, Phường Số 4, Thị xã Trà Vinh"
942840,GD cấp 3 Mỹ Chánh,"Ấp Đầu Giồng A, Xã Mỹ Chánh, Huyện Châu Thành"
942370,BĐVHX Hiếu Trung,"Ấp Tân Trung Giồng, Xã Hiếu Trung, Huyện Tiểu Cần"
942630,BĐVHX Đa Lộc,"Ấp Hương Phụ A, Xã Đa Lộc, Huyện Châu Thành"
943520,KT cấp 2 Cầu Ngang,"Khóm Minh Thuận B, Thị Trấn Cầu Ngang, Huyện Cầu Ngang"
943027,BĐVHX Thanh Sơn,"Ấp Giồng Ông Thình, Xã Thanh Sơn, Huyện Trà Cú"
942710,BĐVHX Hưng Mỹ,"Ấp Đại Thôn, Xã Hưng Mỹ, Huyện Châu Thành"
942110,KT cấp 2 Cầu Kè,"Khóm 4, Thị Trấn Cầu Kè, Huyện Cầu Kè"
943530,BĐVHX Mỹ Long Bắc,"Ấp Bến Kinh, Xã Mỹ Long Bắc, Huyện Cầu Ngang"
942330,BĐVHX Tập Ngãi,"Ấp Lê Văn Quới, Xã Tập Ngãi, Huyện Tiểu Cần"
943640,GD cấp 3 Nhị Trường,"Ấp Nô Lựa, Xã Nhị Trường, Huyện Cầu Ngang"
942730,BĐVHX Hòa Lợi,"Ấp Qui Nông A, Xã Hoà Lợi, Huyện Châu Thành"
942351,BĐVHX Lò Ngò,"Ấp Kinh Xáng, Xã Hiếu Tử, Huyện Tiểu Cần"
941850,BĐVHX An Trường,"Ấp 7 A, Xã An Trường, Huyện Càng Long"
942690,GD cấp 3 Hòa Minh,"Ấp Đại Thôn A, Xã Hoà Minh, Huyện Châu Thành"
943980,KT cấp 2 Duyên Hải,"Khu Tổ 3, Thị Trấn Duyên Hải, Huyện Duyên Hải"
942511,BĐVHX Vàm Cầu Quan,"Khóm Định Quới B (khóm 4), Thị trấn Cầu Quan, Huyện Tiểu Cần"
941990,BĐVHX Đại Phúc,"Ấp Tân Định, Xã Đại Phúc, Huyện Càng Long"
942390,BĐVHX Phú Cần,"Ấp Đại Mông, Xã Phú Cần, Huyện Tiểu Cần"
943010,KT cấp 2 Trà Cú,"Khóm 4, Thị Trấn Trà Cú, Huyện Trà Cú"
941770,BĐVHX Đại Phước,"Ấp Long Hòa, Xã Đại Phước, Huyện Càng Long"
942490,GD cấp 3 Ngãi Hùng,"Ấp Ngã Tư I, Xã Ngãi Hùng, Huyện Tiểu Cần"
942170,BĐVHX Tam Ngãi,"Ấp Bà My, Xã Tam Ngãi, Huyện Cầu Kè"
943040,BĐVHX Ngọc Biên,"Ấp Ba Cụm, Xã Ngọc Biên, Huyện Trà Cú"
943160,BĐVHX Lưu Nghiệp Anh,"Ấp Chợ, Xã Lưu Nghiệp Anh, Huyện Trà Cú"
942220,GD cấp 3 Ninh Thới,"Ấp Mỹ Văn, Xã Ninh Thới, Huyện Cầu Kè"
943120,GD cấp 3 Phước Hưng,"Ấp Chợ, Xã Phước Hưng, Huyện Trà Cú"
942160,BĐVHX Thông Hòa,"Ấp Trà Mẹt, Xã Thông Hoà, Huyện Cầu Kè"
942860,BĐVHX Lương Hòa A,"Ấp Ô Bắp, Xã Lương Hòa A, Huyện Châu Thành"
942820,BĐVHX Thanh Mỹ,"Ấp Kinh Xuôi, Xã Thanh Mỹ, Huyện Châu Thành"
943970,GD cấp 3 Long Hữu,"Ấp 10, Xã Long Hữu, Huyện Duyên Hải"
942790,BĐVHX Nguyệt Hóa,"Ấp Cổ Tháp B, Xã Nguyệt Hoá, Huyện Châu Thành"
943260,GD cấp 3 Đôn Xuân,"Ấp Chợ, Xã Đôn Xuân, Huyện Trà Cú"
942250,BĐVHX Phong Thạnh,"Ấp 2, Xã Phong Thạnh, Huyện Cầu Kè"
943540,GD cấp 3 Mỹ Long,"Khóm Ii, Thị Trấn Mỹ Long, Huyện Cầu Ngang"
941830,GD cấp 3 An Trường A,"Ấp 9 B, Xã An Trường A, Huyện Càng Long"
942240,GD cấp 3 Phong Phú,"Ấp Kinh Xáng, Xã Phong Phú, Huyện Cầu Kè"
942750,BĐVHX Hòa Thuận,"Ấp Bích Trì, Xã Hoà Thuận, Huyện Châu Thành"
942150,BĐVHX Hòa Ân,"Ấp Trà Kháo, Xã Hoà Ân, Huyện Cầu Kè"
942470,BĐVHX Tân Hùng,"Ấp Chợ, Xã Tân Hùng, Huyện Tiểu Cần"
941160,GD cấp 3 Cảng,"Ấp Vĩnh Yên, Xã Long Đức, Thị xã Trà Vinh"
943000,GD cấp 2 Trà Cú,"Khóm 4, Thị Trấn Trà Cú, Huyện Trà Cú"
943280,BĐVHX Đôn Châu,"Ấp La Bang Chợ, Xã Đôn Châu, Huyện Trà Cú"
943720,BĐVHX Hiệp Mỹ Đông,"Ấp Cái Già Trên, Xã Hiệp Mỹ Đông, Huyện Cầu Ngang"
942770,GD cấp 3 Lương Hòa,"Ấp Sâm Bua, Xã Lương Hoà, Huyện Châu Thành"
942670,BĐVHX Long Hòa,"Ấp Rạch Gốc, Xã Long Hoà, Huyện Châu Thành"
942100,GD cấp 2 Cầu Kè,"Khóm 4, Thị Trấn Cầu Kè, Huyện Cầu Kè"
942140,BĐVHX Thạnh Phú,"Ấp 3, Xã Thạnh Phú, Huyện Cầu Kè"
