891310,GD cấp 3 Bắc Cổ Chiên,"Ấp Thanh Mỹ I, Xã Thanh Đức, Huyện Long Hồ"
891470,GD cấp 3 Cầu Đôi,"Ấp Long Hòa, Xã Lộc Hoà, Huyện Long Hồ"
893560,BĐVHX Hòa Tịnh,"Ấp Bình Tịnh B, Xã Hoà Tịnh, Huyện Mang Thít"
891430,BĐVHX Thạnh Quới,"Ấp Thạnh Phú, Xã Thạnh Qưới, Huyện Long Hồ"
890100,KT cấp 1 Vĩnh Long,"12C Đường Hoàng Thái Hiếu, Phường 1, Thị xã Vĩnh Long"
891800,BĐVHX Tân Phú,"Ấp Phú Thọ, Xã Tân Phú, Huyện Tam Bình"
891121,BĐVHX Tân Hội,"Ấp Tân Bình, Xã Tân Hội, Thị xã Vĩnh Long"
891350,BĐVHX Đồng Phú,"Ấp Thuận Long, Xã Đồng Phú, Huyện Long Hồ"
891080,BĐVHX Trường An,"Ấp Tân Quới Hưng, Xã Trường An, Thị xã Vĩnh Long"
891050,GD cấp 3 Nguyễn Huệ,"144 Đường Nguyễn Huệ, Phường 2, Thị xã Vĩnh Long"
892900,GD cấp 2 Vũng Liêm,"Khóm 1, Thị Trấn Vũng Liêm, Huyện Vũng Liêm"
893460,KT cấp 2 Mang Thít,"Khóm 1, Thị Trấn Cái Nhum, Huyện Mang Thít"
891090,GD cấp 3 Trường An,"Ấp Tân Vĩnh Thuận, Xã Tân Ngãi, Thị xã Vĩnh Long"
891830,BĐVHX Phú Thịnh,"Ấp Phú Hữu Đông, Xã Phú Thịnh, Huyện Tam Bình"
893160,BĐVHX Trung An,"Ấp An Phước, Xã Trung An, Huyện Vũng Liêm"
891780,KT cấp 2 Tam Bình,"Khóm 3, Thị Trấn Tam Bình, Huyện Tam Bình"
892220,BĐVHX Đông Thành,"Ấp Đông Hòa 2, Xã Đông Thành, Huyện Bình Minh"
893591,BĐVHX Tân Long 2,"Ấp Thân Bình, Xã Tân Long, Huyện Mang Thít"
892950,BĐVHX Trung Chánh,"Ấp Rạch Rô, Xã Trung Chánh, Huyện Vũng Liêm"
891540,BĐVHX Long An,"Ấp An Hiệp, Xã Long An, Huyện Long Hồ"
892580,GD cấp 3 Vĩnh Xuân,"Ấp Vĩnh Trinh, Xã Vĩnh Xuân, Huyện Trà Ôn"
892730,BĐVHX Tân Mỹ,"Ấp Mỹ An, Xã Tân Mỹ, Huyện Trà Ôn"
893920,BĐVHX Tân Thành,"Ấp Tân Lập, Xã Tân Thành, Huyện Bình Tân"
893100,GD cấp 3 Trung Ngãi,"Ấp Giồng Ké, Xã Trung Ngãi, Huyện Vũng Liêm"
891880,GD cấp 3 Mỹ Lộc,"Ấp Mỹ Phú, Xã Mỹ Lộc, Huyện Tam Bình"
891390,BĐVHX Tân Hạnh,"Ấp Tân Thuận, Xã Tân Hạnh, Huyện Long Hồ"
891940,BĐVHX Hòa Lộc,"Ấp Hai, Xã Hoà Lộc, Huyện Tam Bình"
892630,BĐVHX Thới Hòa,"Ấp Tường Thịnh, Xã Thới Hòa, Huyện Trà Ôn"
892520,BĐVHX Lục Sỹ Thành,"Ấp Tân An, Xã Lục Sỹ Thành, Huyện Trà Ôn"
891850,BĐVHX Tân Lộc,"Ấp Một, Xã Tân Lộc, Huyện Tam Bình"
