320000,GD cấp 1 Yên Bái Ga,"273 Đường Trần Hưng Đạo, Phường Hồng Hà, Thành phố Yên Bái"
320100,KT cấp 1 Yên Bái Ga,"273 Đường Trần Hưng Đạo, Phường Hồng Hà, Thành phố Yên Bái"
321000,GD cấp 3 Minh Tân,"Đường Yên Ninh, Phường Minh Tân, Thành phố Yên Bái"
321110,GD cấp 3 Yên Bái Km5,"27 Đường Đinh Tiên Hoàng 1, Phường Đồng Tâm, Thành phố Yên Bái"
321111,Kiốt bưu điện Km4,"Tổ 32b, Khu phố Quang Trung, Phường Đồng Tâm, Thành phố Yên Bái"
321120,GD cấp 3 Trần Phú,"Tổ 36, Khu phố Đinh Tiên Hoàng, Phường Đồng Tâm, Thành phố Yên Bái"
321130,GD cấp 3 Đồng Tâm,"Đường Yên Ninh, Phường Đồng Tâm, Thành phố Yên Bái"
321200,GD cấp 3 Yên Thịnh,"Đường Đinh Tiên Hoàng 2, Phường Yên Thịnh, Thành phố Yên Bái"
321280,BĐVHX Minh Bảo,"Thôn Thanh Liên, Xã Minh Bảo, Thành phố Yên Bái"
321300,BĐVHX Tân Thịnh,"Thôn Thanh Hùng 2, Xã Tân Thịnh, Thành phố Yên Bái"
321320,GD cấp 3 Nam Cường,"18 Đường Yên Ninh, Phường Yên Ninh, Thành phố Yên Bái"
321321,Kiốt bưu điện Yên Ninh,"Tổ 21a, Khu phố Thống Nhất, Phường Yên Ninh, Thành phố Yên Bái"
321322,Kiốt bưu điện Nhà Máy Sứ,"Đường Nhà Máy Sứ, Phường Yên Ninh, Thành phố Yên Bái"
321390,Kiốt bưu điện Bến Xe,"Tổ 5, Khu phố Hoàng Hoa Thám 1, Phường Nguyễn Thái Học, Thành phố Yên Bái"
321501,Kiốt bưu điện Yên Hoà,"Đường Nguyễn Thái Học, Phường Nguyễn Thái Học, Thành phố Yên Bái"
321525,BĐVHX Nam Cường,"Thôn Đồng Phú, Xã Nam Cường, Thành phố Yên Bái"
321530,Kiốt bưu điện Bạch Đằng,"Tổ 47, Khu phố Hồng Thắng, Phường Hồng Hà, Thành phố Yên Bái"
321600,GD cấp 3 Bưu tá,"Đường Trần Hưng Đạo, Phường Hồng Hà, Thành phố Yên Bái"
321610,Kiốt bưu điện Nguyễn Phúc,"Tổ 1, Khu phố Phúc Yên, Phường Nguyễn Phúc, Thành phố Yên Bái"
321612,Kiốt bưu điện Âu Lâu,"Tổ 27b, Khu phố Phúc Cường 2, Phường Nguyễn Phúc, Thành phố Yên Bái"
321690,BĐVHX Tuy Lộc,"Thôn Minh Long, Xã Tuy Lộc, Thành phố Yên Bái"
321900,GD cấp 2 Yên Bình,"Tổ 8, Khu Thị Trấn, Thị trấn Yên Bình, Huyện Yên Bình"
321901,GD cấp 3 Km9,"Đường Quốc Lộ 37, Thị trấn Yên Bình, Huyện Yên Bình"
321930,KT cấp 2 Yên Bình,"Tổ 8, Khu Thị Trấn, Thị trấn Yên Bình, Huyện Yên Bình"
321940,BĐVHX Đại Đồng,"Thôn Hương Lý, Xã Đại Đồng, Huyện Yên Bình"
321960,BĐVHX Phú Thịnh,"Thôn Đồng Tâm, Xã Phú Thịnh, Huyện Yên Bình"
321970,BĐVHX Thịnh Hưng,"Thôn Liên Hợp, Xã Thịnh Hưng, Huyện Yên Bình"
321990,GD cấp 3 Cát Lem,"Thôn Ngã Ba Cát Lem, Xã Đại Minh, Huyện Yên Bình"
